Title,Price,Size,Neighbourhood,City,Date_Posted,Rooms
"Sprzedam kawalerkę
170 000 zł",170000.0,28.5,,Wągrowiec,2025-04-26,
"Mieszkanie na sprzedaż ! 48 mkw
200 000 zł",200000.0,48.0,,Śmigiel,2025-04-14,
"Sprzedam bezpośrednio 2 pokojowe mieszkanie w centrum Kalisza
215 000 zł",215000.0,28.0,,Kalisz,,2
"Konin, ul. Wyszyńskiego - 1 piętro - 2 pokoje
219 000 zł",219000.0,38.0,,Konin,2025-05-07,2
"Mieszkanie w bloku z windą
239 000 zł",239000.0,37.1,,Kalisz,2025-04-18,
"Sprzedam przestronną kawalerkę| parter| dobra lokalizacja REZERWACJA
200 000 zł",200000.0,27.0,,Przebędowo,2025-05-04,
"Mieszkanie/Dom na sprzedaż Wróblewo
215 000 zł",215000.0,96.68,,Wróblewo,2025-04-22,
"do remontu , parking, Naramowicka
190 000 zł",190000.0,22.0,Naramowice,Poznań,2025-04-22,
"duża kawalerka z potencjałem, niska cena za meetr
229 000 zł",229000.0,38.3,,Piła,2025-04-29,1
"Szamotuły, Obornicka 3 - REZERWACJA
210 000 zł",210000.0,45.6,,Szamotuły,2025-05-01,
"Mieszkanie na sprzedaż 2 pokoje, Piła ,centrum
210 000 zł",210000.0,38.0,,Piła,2025-04-28,2
"Kawalerka z klimatyzacją i aranżacją ""Park Rataje""
206 240 zł",206240.0,25.78,,Chodzież,2025-04-22,1
"wykończona kawalerka| w samym centrum miasta
225 000 zł",225000.0,20.6,,Kaźmierz,2025-04-18,1
"Mieszkanie - Dom wielorodzinny - Huta Szklana gm. Krzyż Wielkopolski
224 999 zł
do negocjacji",224999.0,97.0,,Huta Szklana,2025-05-11,
"Nowe bezczynszowe gotowe do sprzedaży -marzec 2026
243 508 zł",243508.0,35.81,,Jarocin,2025-04-24,
"Mieszkanie Kowalskie 55 m2, 2 pokoje, ogród, garaż, piwnica
245 000 zł",245000.0,54.9,,Kowalskie,2025-05-11,2
"2 pokoje na V osiedlu
214 000 zł",214000.0,32.3,,Konin,2025-04-15,2
"Mieszkanie 33,47 m2 - PARTER - ul. Tuwima, Konin
210 000 zł",210000.0,33.47,,Konin,2025-05-07,
"Kawalerka na sprzedaż. Centrum, balkon, piwnica.
224 000 zł",224000.0,28.0,,Jarocin,2025-04-15,1
"Sprzedam kawalerkę w Centrum 25 m2
163 000 zł",163000.0,25.19,,Konin,2025-04-16,
"PSARSKIE - ul. Hebanowa 5 lokal 7
242 242 zł",242242.0,31.54,,Psarskie,2025-05-07,
"Sprzedam mieszkanie 2-pokojowe
190 000 zł",190000.0,45.88,,Turek,2025-04-17,2
"Mieszkanie na sprzedaż
165 000 zł
do negocjacji",165000.0,68.4,,Biała,2025-05-11,
"Umeblowana kawalerka w świetnej lokalizacji
235 000 zł",235000.0,28.8,,Kalisz,2025-04-25,1
"niedrogo - KOCIUGI -- 40,10m2, 2-pokojowe + garaż + ogródek
169 000 zł",169000.0,40.1,,Kociugi,2025-05-08,2
"Sprzedam mieszkanie - Wilczyn! 4 wolne mieszkania !
209 000 zł",209000.0,28.6,,Wilczyn,2025-03-14,
"Sprzedam mieszkanie
199 000 zł",199000.0,36.0,,Pleszew,,
"Mieszkanie 2-pokojowe na oś. Przemysława II
190 000 zł",190000.0,33.0,,Rogoźno,,2
"Piekne przestronne mieszkanie
250 000 zł
do negocjacji",250000.0,52.0,,Janiszewo,2025-05-11,
"OKAZJA - BEZPOŚREDNIO 2 pokoje 37 m2 Staromiejska
219 000 zł",219000.0,37.0,,Piła,2025-04-30,2
"Umeblowana kawalerka .Osiedle Górne.Do zamieszkania od zaraz.
215 000 zł",215000.0,29.6,,Piła,2025-05-08,1
"Sprzedam 2-pok mieszkanie 33,9 m² – Kaliniec, Kalisz – 4 piętro
230 000 zł
do negocjacji",230000.0,33.9,,Kalisz,2025-05-02,2
"4/6 udziału w lokalu mieszkalnym w Szamotułach
160 900 zł",160900.0,45.3,,Szamotuły,2025-04-23,
"Mieszkanie z garażem w Ptaszkowie
205 000 zł",205000.0,26.8,,Ptaszkowo,2025-04-23,
"Trzypokojowe 11 Listopada, 48, m2 - REZERWACJA
232 000 zł",232000.0,48.14,,Konin,2025-05-07,
"Mieszkanie w stanie surowym do adaptacji!
179 000 zł",179000.0,88.4,,Błażejewo,2025-04-14,
"Mieszkanie po remoncie,parter.Czynsz190zlGotowiec
207 000 zł",207000.0,24.0,,Konin,2025-03-20,
"OKAZJA! 34 m² +balkon+piwnica ul. Wolnośc
195 000 zł",195000.0,34.0,,Ostrów Wielkopolski,2025-03-16,
"2-pokojowe mieszkanie z ogromnym potencjałem
195 000 zł",195000.0,37.0,,Konin,2025-04-14,2
"Sprzedam mieszkanie TBS
180 000 zł",180000.0,46.62,,Kalisz,2025-05-11,
"Mieszkanie 65 mkw bez bik i krd !
150 000 zł",150000.0,65.0,,Śmigiel,2025-05-06,
"Spszedam Mieszkanie
230 000 zł",230000.0,3330.0,,Koło,,
"Wodna 2 | mieszkanie 2-pok. | 6
249 000 zł",249000.0,36.81,,Trzemeszno,2025-04-13,2
"47,81 m2 – 2 pokoje – 1 piętro, ul. Szkolna 4
219 000 zł",219000.0,47.81,,Kalisz,2025-04-17,2
"Mieszkanie 2 pokoje, centrum Jezioran,32 m,1piętro
246 000 zł",246000.0,32.0,,Śrem,2025-04-23,2
"Mieszkanie z ogródkiem i garażem
220 000 zł",220000.0,55.5,,Wiatrowo,2025-05-03,
"Mieszkanie do remontu na sprzedarz - Kalisz Centru
180 000 zł",180000.0,38.0,,Kalisz,2025-04-20,
"Mieszkanie ul. Rogozińska , Wągrowiec
220 000 zł
do negocjacji",220000.0,75.19,,Wągrowiec,2025-04-24,
"Mieszkanie do remontu
225 360 zł",225360.0,59.0,,Skęczniew,2025-04-28,
"Mieszkanie po kapitalnym remoncie.
199 000 zł",199000.0,25.75,,Ostrów Wielkopolski,2025-05-05,
"Spszedam Mieszkanie
230 000 zł",230000.0,3330.0,,Koło,,
"Sprzedam bezpośrednio 2 pokojowe mieszkanie w centrum Kalisza
215 000 zł",215000.0,28.0,,Kalisz,,2
"Mieszkanie 2-pokojowe na oś. Przemysława II
190 000 zł",190000.0,33.0,,Rogoźno,,2
"2 pokoje na V osiedlu, niski czynsz
219 000 zł",219000.0,42.16,,Konin,2025-04-16,2
"3-pokojowe mieszkanie z balkonem na os. 25-lecia
250 000 zł",250000.0,55.3,,Trzcianka,2025-04-28,3
"Mieszkanie, Ostrów Wielkopolski
240 000 zł",240000.0,60.46,,Ostrów Wielkopolski,2025-04-16,
"Nowoczesne mieszkanie z klimatyzacją i podłogówką!
249 900 zł",249900.0,25.5,,Leszno,2025-04-28,
"KOMFORTOWA kawalerka | Czapury | DOBRA lokalizacja
250 000 zł",250000.0,22.0,,Czapury,2025-04-15,1
"Hit!Przestronne trzy pokoje!
195 000 zł",195000.0,56.74,,Kalisz,2025-05-06,
"Na sprzedaż 3-pokojowe mieszkanie w Jastrowiu, ul. Gdańska
190 000 zł",190000.0,62.7,,Jastrowie,2025-05-06,3
"Mieszkanie 52m Wolica Nowa
239 000 zł
do negocjacji",239000.0,51.9,,Wolica Nowa,2025-05-09,
"Mieszkanie 2 pokojowe, działka, garaż, Lipka
189 000 zł",189000.0,51.6,,Lipka,2025-04-29,2
"Sprzedam mieszkanie TBS
180 000 zł",180000.0,46.62,,Kalisz,2025-05-11,
"Nowe bezczynszowe gotowe do sprzedaży -marzec 2026
243 508 zł",243508.0,35.81,,Jarocin,2025-04-24,
"Mieszkanie Kowalskie 55 m2, 2 pokoje, ogród, garaż, piwnica
245 000 zł",245000.0,54.9,,Kowalskie,2025-05-11,2
"Sprzedam mieszkanie. Bez pośredników
249 000 zł",249000.0,37.8,,Leszno,2025-05-10,
"Przytulna kawalerka w Śródmieściu.
179 000 zł",179000.0,26.2,,Piła,2025-04-16,1
"Przestronne mieszkanie w Bojanowie  OKAZJA 
215 000 zł",215000.0,55.0,,Bojanowo,2025-04-28,
"Białośliwie, Rusa, mieszkanie 35,50m2 gotowe do wprowadzenia od zaraz!
199 500 zł
do negocjacji",199500.0,35.5,,Białośliwie,2025-04-15,
"Mieszkanie 36m. Duży pokój + sypialnia, 10p. Centrum
219 000 zł",219000.0,36.0,,Ostrów Wielkopolski,2025-04-15,
"Mieszkanie na sprzedaż w budynku dwurodzinnym, działki, Borucino
229 000 zł",229000.0,44.0,,Borucino,2025-04-16,
"Tu zaczna się Twój dom
239 000 zł",239000.0,60.11,,Kruchowo,2025-05-04,
"Mieszkanie 2-pokojowe z garażem i działką gruntu
250 000 zł",250000.0,53.2,,Koninek,2025-04-21,2
"Wodna 2 | mieszkanie 2-pok. | 23
249 000 zł",249000.0,36.82,,Trzemeszno,2025-04-13,2
"Piekne przestronne mieszkanie
250 000 zł
do negocjacji",250000.0,52.0,,Janiszewo,2025-05-11,
"Mieszkanie na sprzedaż ! 48 mkw
200 000 zł",200000.0,48.0,,Śmigiel,2025-04-14,
"Sprzedam kawalerkę
170 000 zł",170000.0,28.5,,Wągrowiec,2025-04-26,
"Sprzedam mieszkanie 42,16m kw na parterze ...
235 000 zł",235000.0,42.16,,Konin,2025-05-04,
"Gotowe do zamieszkania! 2-pokojowe mieszkanie z balkonem – Konin, Os.
250 000 zł
do negocjacji",250000.0,45.62,,Konin,2025-04-29,2
"Mieszkanie na sprzedaż, Jastrowie, 2 pokoje
195 000 zł",195000.0,48.4,,Jastrowie,2025-04-24,2
